step=0 {'loss': 3.082078695297241, 'L_flow': 2.8662843704223633, 'L_var': 0.4315885901451111, 'L_cov': 1.6447288990020752, 'L_slot': 0.03758491203188896, 'grad_norm': 1.5843576192855835, 'grad_skipped': 0.0, 'ema_m': 0.996, 'lr_mult': 0.0006666666666666666, 'c_std_mean': 0.4952510595321655, 'c_std_median': 0.4845834970474243, 'c_dead_dim_frac': 0.0, 'c_cross_video_cosine': 0.7238704562187195, 'c_effective_rank': 9.472790718078613, 'c_slot_diversity_rank': 16.711070120334625, 'coarse_model_loss': 3.3105926513671875, 'coarse_copy_loss': 0.0533393919467926, 'coarse_batch_mean_loss': 0.26272302865982056, 'coarse_vs_copy_ratio': 62.06656265258789, 'coarse_vs_batch_mean_ratio': 12.601075172424316, 'grad_global_norm': 0.4999996988555838, 'grad_has_nan': 0.0, 'grad_param_count': 100.0, 'c_attn_entropy': 0.9999483823776245, 'c_attn_entropy_min': 0.9998237490653992}
step=1700 {'loss': 0.7605654001235962, 'L_flow': 0.7514537572860718, 'L_var': 0.018223244696855545, 'L_cov': 24.495594024658203, 'L_slot': 0.030633125454187393, 'grad_norm': 3.5919413566589355, 'grad_skipped': 0.0, 'ema_m': 0.9960025219122556, 'lr_mult': 0.9994585556692623}
step=1750 {'loss': 0.7328277230262756, 'L_flow': 0.721509575843811, 'L_var': 0.022636305540800095, 'L_cov': 28.60929298400879, 'L_slot': 0.03892681002616882, 'grad_norm': 2.986292600631714, 'grad_skipped': 0.0, 'ema_m': 0.9960026724072286, 'lr_mult': 0.9991540791356341}
step=1800 {'loss': 0.7122048139572144, 'L_flow': 0.7010434865951538, 'L_var': 0.022322647273540497, 'L_cov': 33.82209014892578, 'L_slot': 0.037449829280376434, 'grad_norm': 2.6875784397125244, 'grad_skipped': 0.0, 'ema_m': 0.9960028272603307, 'lr_mult': 0.9987820251299121}
step=1850 {'loss': 0.6545373201370239, 'L_flow': 0.6443955302238464, 'L_var': 0.020283538848161697, 'L_cov': 31.24263572692871, 'L_slot': 0.03852139040827751, 'grad_norm': 2.747833490371704, 'grad_skipped': 0.0, 'ema_m': 0.9960029864712154, 'lr_mult': 0.998342444022253}
step=1900 {'loss': 0.6977055072784424, 'L_flow': 0.6885272264480591, 'L_var': 0.018356602638959885, 'L_cov': 26.947935104370117, 'L_slot': 0.03710978105664253, 'grad_norm': 2.8369193077087402, 'grad_skipped': 0.0, 'ema_m': 0.9960031500395263, 'lr_mult': 0.9978353953249022}
step=1950 {'loss': 0.6496551632881165, 'L_flow': 0.6393163800239563, 'L_var': 0.02067757025361061, 'L_cov': 33.02467346191406, 'L_slot': 0.036063093692064285, 'grad_norm': 2.9425950050354004, 'grad_skipped': 0.0, 'ema_m': 0.9960033179648975, 'lr_mult': 0.9972609476841366}
step=2000 {'loss': 0.6083031296730042, 'L_flow': 0.5996315479278564, 'L_var': 0.01734315976500511, 'L_cov': 31.44632911682129, 'L_slot': 0.037987299263477325, 'grad_norm': 2.673971176147461, 'grad_skipped': 0.0, 'ema_m': 0.9960034902469529, 'lr_mult': 0.9966191788709715, 'c_std_mean': 0.8992352485656738, 'c_std_median': 0.8859447240829468, 'c_dead_dim_frac': 0.0, 'c_cross_video_cosine': 0.21827010810375214, 'c_effective_rank': 7.171233654022217, 'c_slot_diversity_rank': 17.310297310352325, 'coarse_model_loss': 0.6275629997253418, 'coarse_copy_loss': 0.24144741892814636, 'coarse_batch_mean_loss': 0.8327836990356445, 'coarse_vs_copy_ratio': 2.599170446395874, 'coarse_vs_batch_mean_ratio': 0.7535726428031921, 'grad_global_norm': 0.49999982422044037, 'grad_has_nan': 0.0, 'grad_param_count': 100.0, 'c_attn_entropy': 0.9947367906570435, 'c_attn_entropy_min': 0.988064706325531}
step=2050 {'loss': 0.6196531653404236, 'L_flow': 0.6068803071975708, 'L_var': 0.025545727461576462, 'L_cov': 33.2432861328125, 'L_slot': 0.03907157480716705, 'grad_norm': 3.1103196144104004, 'grad_skipped': 0.0, 'ema_m': 0.9960036668853072, 'lr_mult': 0.9959101757706308}
step=2100 {'loss': 0.6189599633216858, 'L_flow': 0.6049989461898804, 'L_var': 0.02792208455502987, 'L_cov': 32.64487075805664, 'L_slot': 0.03501034528017044, 'grad_norm': 3.293428659439087, 'grad_skipped': 0.0, 'ema_m': 0.9960038478795649, 'lr_mult': 0.9951340343707852}
step=2150 {'loss': 0.6200239658355713, 'L_flow': 0.6085394620895386, 'L_var': 0.02296900749206543, 'L_cov': 26.797121047973633, 'L_slot': 0.037139322608709335, 'grad_norm': 3.0516669750213623, 'grad_skipped': 0.0, 'ema_m': 0.996004033229321, 'lr_mult': 0.9942908597485558}
step=2200 {'loss': 0.5733196139335632, 'L_flow': 0.5668303370475769, 'L_var': 0.012978564947843552, 'L_cov': 37.26725769042969, 'L_slot': 0.038505587726831436, 'grad_norm': 2.514941692352295, 'grad_skipped': 0.0, 'ema_m': 0.9960042229341607, 'lr_mult': 0.9933807660562897}
step=2250 {'loss': 0.5982161164283752, 'L_flow': 0.5922304391860962, 'L_var': 0.011971306055784225, 'L_cov': 38.736717224121094, 'L_slot': 0.03129616007208824, 'grad_norm': 3.210714817047119, 'grad_skipped': 0.0, 'ema_m': 0.9960044169936594, 'lr_mult': 0.9924038765061041}
